Map,MeaPower,UncerMeaPower,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,PowerDiff,Skewness,MinNormDistance,MinFDistance
ARI,1.67227e+03,1.01377e+01,7.99770e+01,-2.00082e+01,1.67347e+03,2.40035e+01,9.82774e+00,1.08048e+01,1.37247e+01,1.08230e+01,7.57204e+00,1.20045e+00,2.97230e+00,3.45928e-04,2.43932e-02
ARI,2.62476e+03,1.67959e+01,7.99799e+01,4.50057e+01,2.62172e+03,4.82714e+01,3.95650e+01,1.69272e+01,1.83393e+01,1.08230e+01,4.97396e+00,-3.03644e+00,5.01589e+00,2.97459e-04,2.09222e-02
ARI,2.30590e+03,1.47263e+01,9.00286e+01,4.96016e+00,2.30744e+03,2.47082e+01,1.41818e+01,1.48980e+01,7.68722e+00,1.08230e+01,3.34517e+00,1.53618e+00,1.19296e+00,6.70175e-04,4.90445e-02
ARI,2.98252e+03,1.83497e+01,9.00033e+01,3.49570e+01,2.97961e+03,3.69336e+01,2.76731e+01,1.92378e+01,1.00285e+01,1.08230e+01,3.23908e+00,-2.91895e+00,2.08133e+00,5.74845e-04,4.30947e-02
ARI,3.66581e+03,2.41879e+01,1.00012e+02,4.49850e+01,3.66723e+03,3.97041e+01,2.79418e+01,2.36775e+01,1.03888e+01,1.08230e+01,3.15976e+00,1.41306e+00,1.56920e+00,2.66289e-04,1.93989e-02
ARI,3.43456e+03,2.11324e+01,1.09954e+02,2.99815e+01,3.42702e+03,3.32765e+01,2.07314e+01,2.21266e+01,8.00589e+00,1.08230e+01,2.59241e+00,-7.54255e+00,1.18137e+00,6.96945e-04,4.92371e-02
ARI,3.99044e+03,2.44363e+01,1.10022e+02,4.50022e+01,3.99738e+03,3.96317e+01,2.59201e+01,2.58091e+01,1.03152e+01,1.08230e+01,3.02863e+00,6.94235e+00,1.34297e+00,3.11783e-04,2.18396e-02
ARI,4.23291e+03,2.60298e+01,1.19910e+02,4.49976e+01,4.24611e+03,4.08013e+01,2.60684e+01,2.74150e+01,1.03746e+01,1.08230e+01,2.97165e+00,1.32028e+01,1.59052e+00,1.29131e-03,9.03956e-02
ARI,4.46384e+03,2.79219e+01,1.29988e+02,4.49547e+01,4.45747e+03,4.28671e+01,2.76150e+01,2.87797e+01,1.09451e+01,1.08230e+01,3.12952e+00,-6.36847e+00,1.74059e+00,6.26724e-04,4.67908e-02
testing,1.67227e+03,1.01377e+01,7.99770e+01,-2.00082e+01,1.67347e+03,2.40035e+01,9.82774e+00,1.08048e+01,1.37247e+01,1.08230e+01,7.57204e+00,1.20045e+00,2.97230e+00,3.45928e-04,2.43932e-02
testing,2.18532e+03,1.39295e+01,7.99949e+01,1.49876e+01,2.18795e+03,3.27934e+01,2.42344e+01,1.41265e+01,1.22651e+01,1.08230e+01,4.57932e+00,2.62647e+00,3.12537e+00,6.65016e-02,4.98762e+00
testing,2.80809e+03,1.85883e+01,8.00655e+01,5.50168e+01,2.81339e+03,5.79877e+01,4.44430e+01,1.81647e+01,2.97321e+01,1.08230e+01,7.50348e+00,5.30081e+00,6.76551e+00,9.61604e-04,6.75820e-02
testing,1.59805e+03,1.12338e+01,9.99568e+01,-2.00144e+01,1.59305e+03,2.57814e+01,1.54916e+01,1.02855e+01,1.27061e+01,1.08230e+01,6.34948e+00,-5.00090e+00,2.68651e+00,6.46926e-04,4.55789e-02
testing,3.06423e+03,1.94811e+01,1.09950e+02,2.00191e+01,3.05645e+03,2.97015e+01,1.80579e+01,1.97340e+01,6.56725e+00,1.08230e+01,2.52922e+00,-7.78261e+00,5.62274e-01,6.69247e-02,5.01932e+00
testing,3.24062e+03,2.16641e+01,1.09998e+02,2.49844e+01,3.24190e+03,3.14391e+01,1.93749e+01,2.09314e+01,7.18043e+00,1.08230e+01,2.49253e+00,1.28526e+00,7.45041e-01,6.68744e-02,5.01558e+00
testing,1.77607e+03,1.18629e+01,1.19897e+02,-1.00118e+01,1.77786e+03,2.80247e+01,1.99818e+01,1.14788e+01,1.07240e+01,1.08230e+01,4.71277e+00,1.78967e+00,2.72424e+00,1.47997e-03,1.03684e-01
testing,3.15082e+03,2.01040e+01,1.19959e+02,2.00029e+01,3.15837e+03,3.16010e+01,1.98241e+01,2.03921e+01,8.06146e+00,1.08230e+01,2.76850e+00,7.55418e+00,1.31004e+00,6.67081e-02,5.00308e+00
testing,3.37794e+03,2.11457e+01,1.20013e+02,2.50200e+01,3.37719e+03,3.31970e+01,2.07667e+01,2.18048e+01,8.41100e+00,1.08230e+01,2.73031e+00,-7.56570e-01,1.31748e+00,1.33067e-01,9.98005e+00
testing,3.58764e+03,2.32055e+01,1.19994e+02,3.00028e+01,3.59291e+03,3.48848e+01,2.18291e+01,2.31977e+01,8.80807e+00,1.08230e+01,2.75473e+00,5.26935e+00,1.24855e+00,6.66289e-02,4.99717e+00
testing,4.70233e+03,3.21191e+01,1.20020e+02,5.50232e+01,4.70149e+03,4.75277e+01,2.94918e+01,3.03552e+01,1.81040e+01,1.08230e+01,4.77297e+00,-8.41788e-01,2.56703e+00,4.17995e-04,3.04212e-02
testing,2.91814e+03,1.87776e+01,1.49997e+02,1.00218e+01,2.91457e+03,4.08936e+01,2.74710e+01,1.88179e+01,2.01318e+01,1.08230e+01,6.41014e+00,-3.57751e+00,3.61903e+00,2.94135e-04,2.20287e-02
testing,4.06691e+03,2.46765e+01,1.50045e+02,2.99948e+01,4.07305e+03,4.50403e+01,3.06369e+01,2.62977e+01,1.61778e+01,1.08230e+01,4.42507e+00,6.13451e+00,2.50432e+00,6.66010e-02,4.99505e+00
testing,5.47873e+03,3.45050e+01,1.49983e+02,5.49930e+01,5.47961e+03,5.96744e+01,3.59982e+01,3.53791e+01,2.91436e+01,1.08230e+01,6.85517e+00,8.77341e-01,4.52409e+00,2.58677e-04,1.82786e-02
