Map 7,-8.35594e+03,-8.48330e+01,2.69952e+02,-6.46879e-02,1.59120e+00,-2.25717e+00,2.52621e-03,-1.40983e-03,-3.90915e-03,6.19885e-03
Map 6,-8.40774e+03,-9.13170e+01,2.72759e+02,6.57405e-02,1.64540e+00,-2.29126e+00,1.37974e-03,-1.55225e-03,-4.11795e-03,6.32516e-03
Map 5,-8.76731e+03,-9.07002e+01,2.83407e+02,8.32682e-02,1.63123e+00,-2.39564e+00,1.31072e-03,-1.69819e-03,-4.04054e-03,6.66328e-03
Map 4,-8.70197e+03,-9.11710e+01,2.81600e+02,8.63658e-02,1.63930e+00,-2.37938e+00,1.31072e-03,-1.72600e-03,-4.07403e-03,6.61544e-03
Map 3,-8.32929e+03,-9.08070e+01,2.70303e+02,9.90264e-02,1.62655e+00,-2.26656e+00,1.21080e-03,-1.79663e-03,-3.98996e-03,6.24416e-03
Map 2,-8.42724e+03,-8.80224e+01,2.72583e+02,4.95061e-02,1.59158e+00,-2.28394e+00,1.67106e-03,-1.60787e-03,-3.87343e-03,6.28817e-03
Map 1,-8.48008e+03,-8.90909e+01,2.74123e+02,4.01752e-02,1.62184e+00,-2.30032e+00,1.52284e-03,-1.45844e-03,-4.05131e-03,6.34679e-03
Map 8,-7.94706e+03,-1.01391e+02,2.67264e+02,-4.17418e-01,2.20961e+00,-2.38138e+00,1.57054e-03,3.47324e-03,-8.99719e-03,7.36468e-03
