Map,Case,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov
Map 1,testing_points,8.00000e+01,-2.00000e+01,1.63995e+03,1.61653e+02,1.90234e+01,1.05605e+01,1.49427e+02,1.20658e+01,5.64289e+01
Map 1,testing_points,1.00000e+02,-2.00000e+01,1.56979e+03,1.53752e+02,3.65049e+01,1.01087e+01,1.39064e+02,1.20658e+01,5.21595e+01
Map 1,testing_points,1.20000e+02,-1.00000e+01,1.77045e+03,8.41849e+01,4.62697e+01,1.14008e+01,6.37803e+01,1.20658e+01,2.45504e+01
Map 1,testing_points,1.50000e+02,1.00000e+01,2.91562e+03,6.35176e+01,5.58973e+01,1.87752e+01,1.91230e+01,1.20658e+01,6.79699e+00
Map 1,testing_points,1.50000e+02,5.50000e+01,5.48148e+03,7.58360e+01,5.82946e+01,3.52981e+01,3.00383e+01,1.20658e+01,7.68144e+00
Map 1,testing_points,1.20000e+02,5.50000e+01,4.69838e+03,6.10900e+01,4.83910e+01,3.02553e+01,1.74521e+01,1.20658e+01,4.97509e+00
Map 1,testing_points,8.00000e+01,5.50000e+01,2.80930e+03,8.02320e+01,7.16895e+01,1.80905e+01,2.76558e+01,1.20658e+01,7.75214e+00
Map 1,testing_points,1.10000e+02,2.00000e+01,3.05710e+03,4.33587e+01,3.54032e+01,1.96863e+01,8.90425e+00,1.20658e+01,3.76437e+00
Map 1,testing_points,1.10000e+02,2.50000e+01,3.24311e+03,4.44849e+01,3.63176e+01,2.08841e+01,8.16500e+00,1.20658e+01,3.39775e+00
Map 1,testing_points,1.20000e+02,2.00000e+01,3.15945e+03,4.76517e+01,4.00246e+01,2.03453e+01,9.72317e+00,1.20658e+01,3.82869e+00
Map 1,testing_points,1.20000e+02,3.00000e+01,3.59288e+03,4.95014e+01,4.09945e+01,2.31364e+01,8.88715e+00,1.20658e+01,3.16046e+00
Map 1,testing_points,8.00000e+01,1.50000e+01,2.18615e+03,4.56912e+01,3.98714e+01,1.40778e+01,1.14503e+01,1.20658e+01,4.80481e+00
Map 1,testing_points,1.50000e+02,3.00000e+01,4.07296e+03,6.39460e+01,5.49495e+01,2.62279e+01,1.47106e+01,1.20658e+01,4.44410e+00
Map 1,testing_points,1.20000e+02,2.50000e+01,3.37668e+03,4.83742e+01,4.03379e+01,2.17442e+01,9.07797e+00,1.20658e+01,3.48001e+00
Map 1,ARI_points,1.30000e+02,4.50000e+01,4.45831e+03,5.83410e+01,4.78577e+01,2.87094e+01,1.14061e+01,1.20658e+01,3.66026e+00
Map 1,ARI_points,1.10000e+02,4.50000e+01,3.99555e+03,5.30126e+01,4.31969e+01,2.57294e+01,1.11226e+01,1.20658e+01,3.61420e+00
Map 1,ARI_points,1.00000e+02,4.50000e+01,3.66676e+03,5.35327e+01,4.49192e+01,2.36121e+01,1.14198e+01,1.20658e+01,3.80683e+00
Map 1,ARI_points,1.10000e+02,3.00000e+01,3.42882e+03,4.60742e+01,3.76028e+01,2.20799e+01,8.13226e+00,1.20658e+01,3.10159e+00
Map 1,ARI_points,9.00000e+01,5.00000e+00,2.30345e+03,3.52547e+01,2.68733e+01,1.48331e+01,1.12226e+01,1.20658e+01,5.40067e+00
Map 1,ARI_points,8.00000e+01,4.50000e+01,2.62393e+03,6.91507e+01,6.37946e+01,1.68968e+01,1.60469e+01,1.20658e+01,4.84534e+00
Map 1,ARI_points,9.00000e+01,3.50000e+01,2.98104e+03,5.12572e+01,4.46004e+01,1.91964e+01,1.05286e+01,1.20658e+01,3.62891e+00
Map 1,ARI_points,1.20000e+02,4.50000e+01,4.24671e+03,5.50474e+01,4.47251e+01,2.73468e+01,1.11316e+01,1.20658e+01,3.54185e+00
