Map,Case,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,MinNormDistance,MinFDistance
Map 8,testing_points,8.00000e+01,-2.00000e+01,1.53965e+03,7.07406e+02,2.58386e+01,9.65863e+00,5.14609e+02,3.07781e+01,4.83624e+02,0.00000e+00,4.83624e+02,2.50000e+01
Map 8,testing_points,1.00000e+02,-2.00000e+01,1.69767e+03,1.27057e+03,3.12026e+01,1.06499e+01,9.69426e+02,3.07781e+01,8.20085e+02,0.00000e+00,8.20085e+02,2.69258e+01
Map 8,testing_points,1.20000e+02,-1.00000e+01,2.21530e+03,2.02886e+03,3.35776e+01,1.38971e+01,1.59506e+03,3.07781e+01,1.25290e+03,0.00000e+00,1.25290e+03,3.35410e+01
Map 8,testing_points,1.50000e+02,1.00000e+01,3.70545e+03,2.98228e+03,4.90674e+01,2.32452e+01,2.34357e+03,3.07781e+01,1.84331e+03,0.00000e+00,1.84331e+03,4.03113e+01
Map 8,testing_points,1.50000e+02,5.50000e+01,5.51076e+03,3.29758e+02,5.66504e+01,3.45703e+01,2.50271e+02,3.07781e+01,2.01875e+02,0.00000e+00,2.01875e+02,2.00000e+01
Map 8,testing_points,1.20000e+02,5.50000e+01,4.69953e+03,8.05535e+01,4.99389e+01,2.94813e+01,3.70830e+01,3.07781e+01,2.83440e+01,0.00000e+00,2.83440e+01,1.00000e+01
Map 8,testing_points,8.00000e+01,5.50000e+01,2.78188e+03,1.68250e+02,7.39973e+01,1.74514e+01,1.17149e+02,3.07781e+01,8.86375e+01,0.00000e+00,8.86375e+01,1.00000e+01
Map 8,testing_points,1.10000e+02,2.00000e+01,3.09417e+03,1.32233e+02,3.35008e+01,1.94105e+01,9.32123e+01,3.07781e+01,7.96918e+01,0.00000e+00,7.96918e+01,1.00000e+01
Map 8,testing_points,1.10000e+02,2.50000e+01,3.26219e+03,8.50974e+01,3.48721e+01,2.04645e+01,4.98007e+01,3.07781e+01,4.66831e+01,0.00000e+00,4.66831e+01,5.00000e+00
Map 8,testing_points,1.20000e+02,2.00000e+01,3.25537e+03,3.45478e+02,3.56110e+01,2.04217e+01,2.68014e+02,3.07781e+01,2.11875e+02,0.00000e+00,2.11875e+02,1.41421e+01
Map 8,testing_points,1.20000e+02,3.00000e+01,3.62692e+03,1.33296e+02,3.83745e+01,2.27526e+01,9.46938e+01,3.07781e+01,7.65727e+01,0.00000e+00,7.65727e+01,1.00000e+01
Map 8,testing_points,8.00000e+01,1.50000e+01,2.20483e+03,9.44478e+01,3.83265e+01,1.38314e+01,5.65710e+01,3.07781e+01,5.57905e+01,0.00000e+00,5.57905e+01,1.00000e+01
Map 8,testing_points,1.50000e+02,3.00000e+01,4.38144e+03,1.12097e+03,4.86692e+01,2.74858e+01,8.74047e+02,3.07781e+01,6.98956e+02,0.00000e+00,6.98956e+02,2.50000e+01
Map 8,testing_points,1.20000e+02,2.50000e+01,3.43822e+03,2.21624e+02,3.68606e+01,2.15688e+01,1.68348e+02,3.07781e+01,1.34182e+02,0.00000e+00,1.34182e+02,1.11803e+01
Map 8,ARI_points,1.30000e+02,4.50000e+01,4.46567e+03,7.93102e+01,4.65001e+01,2.80142e+01,3.84121e+01,3.07781e+01,3.03361e+01,0.00000e+00,3.03361e+01,0.00000e+00
Map 8,ARI_points,1.10000e+02,4.50000e+01,3.98725e+03,6.69980e+01,4.33738e+01,2.50130e+01,2.45303e+01,3.07781e+01,2.08030e+01,0.00000e+00,2.08030e+01,0.00000e+00
Map 8,ARI_points,1.00000e+02,4.50000e+01,3.66336e+03,6.72772e+01,4.48027e+01,2.29812e+01,2.43510e+01,3.07781e+01,2.12262e+01,0.00000e+00,2.12262e+01,0.00000e+00
Map 8,ARI_points,1.10000e+02,3.00000e+01,3.43433e+03,6.65769e+01,3.65483e+01,2.15444e+01,2.86745e+01,3.07781e+01,2.93772e+01,0.00000e+00,2.93772e+01,0.00000e+00
Map 8,ARI_points,9.00000e+01,5.00000e+00,2.30699e+03,5.74401e+01,2.82479e+01,1.44723e+01,2.06478e+01,3.07781e+01,3.03042e+01,0.00000e+00,3.03042e+01,0.00000e+00
Map 8,ARI_points,8.00000e+01,4.50000e+01,2.62529e+03,9.10283e+01,6.38005e+01,1.64691e+01,4.54501e+01,3.07781e+01,3.05192e+01,0.00000e+00,3.05192e+01,0.00000e+00
Map 8,ARI_points,9.00000e+01,3.50000e+01,2.98623e+03,6.92098e+01,4.34948e+01,1.87333e+01,2.93441e+01,3.07781e+01,2.71825e+01,0.00000e+00,2.71825e+01,0.00000e+00
Map 8,ARI_points,1.20000e+02,4.50000e+01,4.23995e+03,6.86946e+01,4.45116e+01,2.65983e+01,2.49818e+01,3.07781e+01,2.14200e+01,0.00000e+00,2.14200e+01,0.00000e+00
