Map,MeaPower,UncerMeaPower,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,PowerDiff,Skewness,MinNormDistance,MinFDistance
ARI,1.67227e+03,1.01377e+01,7.99770e+01,-2.00082e+01,1.63961e+03,1.61020e+02,1.07276e+01,1.05583e+01,1.49556e+02,1.20656e+01,5.64659e+01,-3.26615e+01,1.27426e+00,5.00164e-01,2.50082e+01
ARI,2.62476e+03,1.67959e+01,7.99799e+01,4.50057e+01,2.62263e+03,4.77036e+01,3.95328e+01,1.68885e+01,1.60761e+01,1.20656e+01,4.85227e+00,-2.12927e+00,4.02296e+00,3.09336e-04,2.09222e-02
ARI,2.30590e+03,1.47263e+01,9.00286e+01,4.96016e+00,2.30306e+03,2.70081e+01,1.44004e+01,1.48306e+01,1.12761e+01,1.20656e+01,5.42104e+00,-2.84063e+00,2.62420e+00,8.95489e-04,4.90445e-02
ARI,2.98252e+03,1.83497e+01,9.00033e+01,3.49570e+01,2.98018e+03,3.74507e+01,2.76515e+01,1.91909e+01,1.05317e+01,1.20656e+01,3.62785e+00,-2.34684e+00,1.68521e+00,8.60651e-04,4.30947e-02
ARI,3.66581e+03,2.41879e+01,1.00012e+02,4.49850e+01,3.66674e+03,4.03227e+01,2.78929e+01,2.36120e+01,1.14155e+01,1.20656e+01,3.80684e+00,9.25731e-01,1.37634e+00,3.47379e-04,1.93989e-02
ARI,3.43456e+03,2.11324e+01,1.09954e+02,2.99815e+01,3.42726e+03,3.37168e+01,2.06892e+01,2.20699e+01,8.15415e+00,1.20656e+01,3.10333e+00,-7.29831e+00,9.30618e-01,7.49632e-04,4.92371e-02
ARI,3.99044e+03,2.44363e+01,1.10022e+02,4.50022e+01,3.99625e+03,4.01753e+01,2.58746e+01,2.57339e+01,1.11215e+01,1.20656e+01,3.61371e+00,5.81883e+00,1.28397e+00,3.13570e-04,2.18396e-02
ARI,4.23291e+03,2.60298e+01,1.19910e+02,4.49976e+01,4.24457e+03,4.13145e+01,2.60343e+01,2.73330e+01,1.11310e+01,1.20656e+01,3.54090e+00,1.16625e+01,1.30440e+00,1.29182e-03,9.03956e-02
ARI,4.46384e+03,2.79219e+01,1.29988e+02,4.49547e+01,4.45585e+03,4.32920e+01,2.76005e+01,2.86935e+01,1.14067e+01,1.20656e+01,3.66032e+00,-7.98621e+00,1.51349e+00,9.21541e-04,4.67908e-02
testing,1.67227e+03,1.01377e+01,7.99770e+01,-2.00082e+01,1.63961e+03,1.61020e+02,1.07276e+01,1.05583e+01,1.49556e+02,1.20656e+01,5.64659e+01,-3.26615e+01,1.27426e+00,5.00164e-01,2.50082e+01
