Map,MeaPower,UncerMeaPower,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,PowerDiff,Skewness,MinNormDistance,MinFDistance
All,1.75620e+03,1.05065e+01,7.99898e+01,-1.49650e+01,1.76555e+03,3.01190e+01,9.10297e+00,1.13565e+01,2.13132e+01,1.12643e+01,1.06857e+01,9.35486e+00,2.52158e+00,9.02736e-02,4.96505e+00
All,1.84502e+03,1.19945e+01,7.99430e+01,-1.00132e+01,1.84129e+03,2.52528e+01,1.20063e+01,1.18437e+01,1.32506e+01,1.12643e+01,7.12853e+00,-3.72643e+00,3.14368e+00,9.80141e-04,5.85269e-02
All,1.91735e+03,1.20870e+01,8.00415e+01,-5.01250e+00,1.91656e+03,2.74826e+01,1.89136e+01,1.23279e+01,9.58298e+00,1.12643e+01,5.18365e+00,-7.84281e-01,3.26531e+00,7.27996e-04,4.33383e-02
All,1.98794e+03,1.30527e+01,7.99999e+01,1.12860e-02,1.98614e+03,2.57162e+01,1.64379e+01,1.27754e+01,9.00100e+00,1.12643e+01,4.47253e+00,-1.80832e+00,2.46888e+00,2.05206e-04,1.12864e-02
All,2.05167e+03,1.32039e+01,8.00321e+01,5.01770e+00,2.05520e+03,2.76550e+01,1.90015e+01,1.32197e+01,9.17804e+00,1.12643e+01,4.22624e+00,3.52763e+00,2.35150e+00,6.24346e-04,3.66571e-02
All,2.11905e+03,1.40284e+01,7.99815e+01,9.95514e+00,2.11925e+03,2.97904e+01,2.16234e+01,1.36316e+01,9.49657e+00,1.12643e+01,4.12357e+00,2.00666e-01,2.45702e+00,8.72225e-04,4.85413e-02
All,2.18532e+03,1.39295e+01,7.99948e+01,1.49876e+01,2.18635e+03,3.20283e+01,2.41970e+01,1.40632e+01,9.95567e+00,1.12643e+01,4.06721e+00,1.02790e+00,2.65522e+00,2.41325e-04,1.34325e-02
All,2.24911e+03,1.40956e+01,7.99664e+01,2.00157e+01,2.25206e+03,3.45010e+01,2.68670e+01,1.44859e+01,1.07126e+01,1.12643e+01,4.12294e+00,2.94924e+00,2.90114e+00,6.28418e-04,3.70783e-02
All,2.32026e+03,1.46873e+01,7.99718e+01,2.49769e+01,2.31973e+03,3.69262e+01,2.93726e+01,1.49212e+01,1.15497e+01,1.12643e+01,4.22727e+00,-5.29500e-01,3.14941e+00,6.30685e-04,3.64758e-02
All,2.39718e+03,1.61560e+01,8.00445e+01,2.99710e+01,2.39393e+03,3.90061e+01,3.13962e+01,1.53985e+01,1.23804e+01,1.12643e+01,4.29870e+00,-3.24595e+00,3.37996e+00,9.09660e-04,5.30967e-02
All,2.46689e+03,1.62981e+01,7.99880e+01,3.50599e+01,2.46566e+03,4.21469e+01,3.43758e+01,1.58599e+01,1.40013e+01,1.12643e+01,4.49586e+00,-1.22398e+00,4.17825e+00,1.10653e-03,6.10469e-02
All,2.53678e+03,1.70896e+01,7.99832e+01,3.99983e+01,2.54209e+03,4.58251e+01,3.69056e+01,1.63515e+01,1.77708e+01,1.12643e+01,5.27829e+00,5.31485e+00,5.61841e+00,2.81550e-04,1.68759e-02
All,2.62476e+03,1.67959e+01,7.99798e+01,4.50057e+01,2.62466e+03,5.16958e+01,3.93036e+01,1.68826e+01,2.56792e+01,1.12643e+01,7.50725e+00,-1.02816e-01,6.30311e+00,3.52828e-04,2.10240e-02
