Map,Case,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,MinNormDistance,MinFDistance
Map 7,testing_points,8.00000e+01,-2.00000e+01,1.52801e+03,2.62301e+02,2.58265e+01,9.72878e+00,2.43504e+02,1.22984e+01,9.27057e+01,5.00000e-01,9.27057e+01,2.50000e+01
Map 7,testing_points,1.00000e+02,-2.00000e+01,1.45997e+03,2.58370e+02,4.32419e+01,9.29553e+00,2.37778e+02,1.22984e+01,9.00512e+01,5.00000e-01,9.00512e+01,2.50000e+01
Map 7,testing_points,1.20000e+02,-1.00000e+01,1.72249e+03,1.22233e+02,5.06443e+01,1.09670e+01,1.02494e+02,1.22984e+01,3.99958e+01,3.00000e-01,3.99958e+01,1.50000e+01
Map 7,testing_points,1.50000e+02,1.00000e+01,2.90537e+03,7.28517e+01,5.67028e+01,1.84983e+01,3.75149e+01,1.22984e+01,1.38331e+01,1.74379e-01,1.38331e+01,1.00000e+01
Map 7,testing_points,1.50000e+02,5.50000e+01,5.48047e+03,8.41546e+01,5.91089e+01,3.48938e+01,4.56493e+01,1.22984e+01,1.16384e+01,0.00000e+00,1.16384e+01,0.00000e+00
Map 7,testing_points,1.20000e+02,5.50000e+01,4.69949e+03,6.51774e+01,4.91014e+01,2.99214e+01,2.69061e+01,1.22984e+01,8.16488e+00,1.42857e-01,8.16488e+00,1.00000e+01
Map 7,testing_points,8.00000e+01,5.50000e+01,2.81098e+03,9.27282e+01,7.15108e+01,1.78974e+01,5.24763e+01,1.22984e+01,1.61057e+01,1.42857e-01,1.61057e+01,1.00000e+01
Map 7,testing_points,1.10000e+02,2.00000e+01,3.06789e+03,4.58662e+01,3.52536e+01,1.95331e+01,1.67786e+01,1.22984e+01,6.82426e+00,0.00000e+00,6.82426e+00,0.00000e+00
Map 7,testing_points,1.10000e+02,2.50000e+01,3.25220e+03,4.58868e+01,3.59133e+01,2.07066e+01,1.42181e+01,1.22984e+01,5.80262e+00,1.00000e-01,5.80262e+00,5.00000e+00
Map 7,testing_points,1.20000e+02,2.00000e+01,3.16964e+03,5.06535e+01,3.98897e+01,2.01809e+01,1.90113e+01,1.22984e+01,7.39184e+00,1.42857e-01,7.39184e+00,1.00000e+01
Map 7,testing_points,1.20000e+02,3.00000e+01,3.59889e+03,5.05841e+01,4.04612e+01,2.29140e+01,1.47124e+01,1.22984e+01,5.37485e+00,1.00000e-01,5.37485e+00,5.00000e+00
Map 7,testing_points,8.00000e+01,1.50000e+01,2.19836e+03,5.30799e+01,3.97874e+01,1.39968e+01,2.76778e+01,1.22984e+01,1.10095e+01,1.74379e-01,1.10095e+01,1.00000e+01
Map 7,testing_points,1.50000e+02,3.00000e+01,4.06795e+03,7.14576e+01,5.44370e+01,2.59004e+01,3.45737e+01,1.22984e+01,1.11974e+01,1.74379e-01,1.11974e+01,1.00000e+01
Map 7,testing_points,1.20000e+02,2.50000e+01,3.38538e+03,5.02864e+01,3.99323e+01,2.15545e+01,1.66607e+01,1.22984e+01,6.38055e+00,1.74379e-01,6.38055e+00,1.00000e+01
Map 7,ARI_points,1.30000e+02,4.50000e+01,4.45663e+03,6.02343e+01,4.77526e+01,2.83751e+01,1.87857e+01,1.22984e+01,6.20924e+00,0.00000e+00,6.20924e+00,0.00000e+00
Map 7,ARI_points,1.10000e+02,4.50000e+01,3.99322e+03,5.41911e+01,4.30542e+01,2.54246e+01,1.59587e+01,1.22984e+01,5.53790e+00,0.00000e+00,5.53790e+00,0.00000e+00
Map 7,ARI_points,1.00000e+02,4.50000e+01,3.66387e+03,5.50985e+01,4.47635e+01,2.33276e+01,1.72941e+01,1.22984e+01,6.12808e+00,0.00000e+00,6.12808e+00,0.00000e+00
Map 7,ARI_points,1.10000e+02,3.00000e+01,3.43499e+03,4.67031e+01,3.70848e+01,2.18704e+01,1.23561e+01,1.22984e+01,4.86393e+00,0.00000e+00,4.86393e+00,0.00000e+00
Map 7,ARI_points,9.00000e+01,5.00000e+00,2.30466e+03,3.73402e+01,2.80843e+01,1.46736e+01,1.37200e+01,1.22984e+01,7.12428e+00,0.00000e+00,7.12428e+00,0.00000e+00
Map 7,ARI_points,8.00000e+01,4.50000e+01,2.62391e+03,7.35203e+01,6.34156e+01,1.67063e+01,2.95407e+01,1.22984e+01,8.98281e+00,0.00000e+00,8.98281e+00,0.00000e+00
Map 7,ARI_points,9.00000e+01,3.50000e+01,2.98409e+03,5.25634e+01,4.42159e+01,1.89995e+01,1.61749e+01,1.22984e+01,5.83090e+00,0.00000e+00,5.83090e+00,0.00000e+00
Map 7,ARI_points,1.20000e+02,4.50000e+01,4.24507e+03,5.62631e+01,4.45925e+01,2.70281e+01,1.63047e+01,1.22984e+01,5.42534e+00,0.00000e+00,5.42534e+00,0.00000e+00
