Map,MeaPower,UncerMeaPower,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,PowerDiff,Skewness
All,2.05167e+03,1.32039e+01,8.00321e+01,5.01770e+00,2.05382e+03,2.91162e+01,1.91943e+01,1.32401e+01,1.09714e+01,1.23372e+01,5.60829e+00,2.14284e+00,3.26994e+00
All,2.11905e+03,1.40284e+01,7.99815e+01,9.95514e+00,2.11932e+03,3.07868e+01,2.17516e+01,1.36624e+01,1.05717e+01,1.23372e+01,4.90557e+00,2.73262e-01,2.61232e+00
All,2.18532e+03,1.39295e+01,7.99948e+01,1.49876e+01,2.18689e+03,3.28800e+01,2.42752e+01,1.40979e+01,1.08999e+01,1.23372e+01,4.69546e+00,1.56635e+00,2.63127e+00
All,2.24911e+03,1.40956e+01,7.99664e+01,2.00157e+01,2.25236e+03,3.51514e+01,2.69092e+01,1.45200e+01,1.12813e+01,1.23372e+01,4.60547e+00,3.25345e+00,2.79267e+00
All,2.32026e+03,1.46873e+01,7.99718e+01,2.49769e+01,2.31947e+03,3.74365e+01,2.93905e+01,1.49527e+01,1.18683e+01,1.23372e+01,4.58723e+00,-7.90082e-01,2.90965e+00
All,2.39718e+03,1.61560e+01,8.00445e+01,2.99710e+01,2.39311e+03,3.94907e+01,3.14004e+01,1.54274e+01,1.27152e+01,1.23372e+01,4.65232e+00,-4.06994e+00,3.22839e+00
All,2.46689e+03,1.62981e+01,7.99880e+01,3.50599e+01,2.46462e+03,4.24346e+01,3.43792e+01,1.58884e+01,1.38240e+01,1.23372e+01,4.79747e+00,-2.26617e+00,3.40129e+00
All,2.53678e+03,1.70896e+01,7.99832e+01,3.99983e+01,2.54153e+03,4.51877e+01,3.69203e+01,1.63842e+01,1.52730e+01,1.23372e+01,4.99132e+00,4.75152e+00,4.02273e+00
All,2.62476e+03,1.67959e+01,7.99798e+01,4.50057e+01,2.62562e+03,4.86803e+01,3.93437e+01,1.69263e+01,1.87139e+01,1.23372e+01,5.73858e+00,8.57295e-01,5.36830e+00
All,2.71709e+03,1.76002e+01,8.00155e+01,5.00251e+01,2.72010e+03,5.45891e+01,4.17795e+01,1.75354e+01,2.66500e+01,1.23372e+01,8.03275e+00,3.00883e+00,6.00230e+00
All,2.80809e+03,1.85883e+01,8.00654e+01,5.50168e+01,2.82401e+03,6.52739e+01,4.41759e+01,1.82052e+01,4.08274e+01,1.23372e+01,1.25957e+01,1.59256e+01,5.85985e+00
All,1.68604e+03,1.06870e+01,8.99783e+01,-1.99894e+01,1.66144e+03,1.03324e+02,1.09271e+01,1.07106e+01,9.38263e+01,1.23372e+01,3.85502e+01,-2.46038e+01,9.45379e-01
All,1.81774e+03,1.22353e+01,9.00364e+01,-1.50265e+01,1.80393e+03,7.00408e+01,9.49837e+00,1.16292e+01,6.20129e+01,1.23372e+01,2.61237e+01,-1.38109e+01,1.05589e+00
All,1.95091e+03,1.24410e+01,8.99701e+01,-9.99112e+00,1.93982e+03,4.60260e+01,1.03363e+01,1.25052e+01,3.77919e+01,1.23372e+01,1.65751e+01,-1.10933e+01,1.28587e+00
All,2.07282e+03,1.37512e+01,9.00212e+01,-5.01335e+00,2.06744e+03,3.20042e+01,1.26223e+01,1.33279e+01,2.09372e+01,1.23372e+01,9.83551e+00,-5.38212e+00,1.68484e+00
All,2.19260e+03,1.42041e+01,8.99819e+01,1.23068e-02,2.18942e+03,2.56476e+01,1.26240e+01,1.41143e+01,1.07502e+01,1.23372e+01,5.60774e+00,-3.18701e+00,2.45839e+00
All,2.30590e+03,1.47263e+01,9.00286e+01,4.96013e+00,2.30605e+03,2.55000e+01,1.43303e+01,1.48662e+01,7.54300e+00,1.23372e+01,3.84535e+00,1.50620e-01,1.62850e+00
All,2.40767e+03,1.60128e+01,8.99260e+01,1.00038e+01,2.41836e+03,2.72323e+01,1.63850e+01,1.55901e+01,8.04787e+00,1.23372e+01,3.62009e+00,1.06890e+01,1.10063e+00
All,2.53095e+03,1.53777e+01,9.00606e+01,1.50060e+01,2.53306e+03,2.90891e+01,1.84639e+01,1.63296e+01,8.53925e+00,1.23372e+01,3.67147e+00,2.11086e+00,1.21568e+00
All,2.65365e+03,1.74053e+01,9.00154e+01,1.99541e+01,2.64104e+03,3.09798e+01,2.07116e+01,1.70257e+01,8.69175e+00,1.23372e+01,3.62656e+00,-1.26088e+01,1.36739e+00
All,2.74899e+03,1.78688e+01,8.99501e+01,2.49807e+01,2.74991e+03,3.30658e+01,2.30210e+01,1.77275e+01,9.15352e+00,1.23372e+01,3.62268e+00,9.17736e-01,1.69734e+00
All,2.85321e+03,2.02852e+01,9.00259e+01,2.99658e+01,2.86442e+03,3.52842e+01,2.52585e+01,1.84657e+01,9.98825e+00,1.23372e+01,3.74531e+00,1.12138e+01,1.65923e+00
All,2.98252e+03,1.83497e+01,9.00033e+01,3.49570e+01,2.97812e+03,3.75509e+01,2.75851e+01,1.91987e+01,1.06538e+01,1.23372e+01,3.85124e+00,-4.40244e+00,1.64783e+00
All,3.09962e+03,2.03334e+01,8.99993e+01,4.00457e+01,3.09888e+03,3.97718e+01,2.99540e+01,1.99772e+01,1.09084e+01,1.23372e+01,3.77691e+00,-7.38150e-01,1.71524e+00
All,3.22314e+03,2.08543e+01,9.00181e+01,4.49825e+01,3.22238e+03,4.23972e+01,3.23623e+01,2.07734e+01,1.23046e+01,1.23372e+01,3.88065e+00,-7.62782e-01,2.90285e+00
All,3.35774e+03,2.18467e+01,8.99863e+01,5.00245e+01,3.35241e+03,4.69858e+01,3.47459e+01,2.16116e+01,1.87100e+01,1.23372e+01,5.57236e+00,-5.32280e+00,4.18218e+00
All,3.48450e+03,2.20160e+01,9.00200e+01,5.50202e+01,3.49264e+03,5.62393e+01,3.71585e+01,2.25156e+01,3.20422e+01,1.23372e+01,9.81063e+00,8.13541e+00,4.23778e+00
All,1.59805e+03,1.12338e+01,9.99566e+01,-2.00145e+01,1.57389e+03,1.01695e+02,1.59142e+01,1.01462e+01,9.18668e+01,1.23372e+01,3.73351e+01,-2.41619e+01,8.71358e-01
All,1.78250e+03,1.12533e+01,9.99895e+01,-1.49669e+01,1.76442e+03,6.83944e+01,1.43903e+01,1.13745e+01,5.97697e+01,1.23372e+01,2.48335e+01,-1.80758e+01,9.46924e-01
All,1.94926e+03,1.20223e+01,1.00040e+02,-9.95067e+00,1.94458e+03,4.51487e+01,1.38861e+01,1.25359e+01,3.60036e+01,1.23372e+01,1.54909e+01,-4.68079e+00,1.17428e+00
All,2.11399e+03,1.33635e+01,1.00023e+02,-4.99846e+00,2.11488e+03,3.25730e+01,1.58332e+01,1.36337e+01,1.97651e+01,1.23372e+01,9.03143e+00,8.83900e-01,1.45415e+00
All,2.28134e+03,1.45498e+01,1.00032e+02,-2.66535e-02,2.27909e+03,2.60294e+01,1.31164e+01,1.46923e+01,1.05011e+01,1.23372e+01,5.21037e+00,-2.24803e+00,1.91039e+00
All,2.43601e+03,1.45466e+01,9.99964e+01,4.96758e+00,2.43820e+03,2.58746e+01,1.37494e+01,1.57181e+01,8.11920e+00,1.23372e+01,3.90691e+00,2.18548e+00,1.25781e+00
All,2.58838e+03,1.64213e+01,1.00061e+02,1.00259e+01,2.59592e+03,2.72202e+01,1.48289e+01,1.67348e+01,8.58798e+00,1.23372e+01,3.87692e+00,7.53936e+00,1.22368e+00
