Map,MeaPower,UncerMeaPower,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,PowerDiff,Skewness,MinNormDistance,MinFDistance
ARI,1.67227e+03,1.01377e+01,7.99769e+01,-2.00083e+01,1.53918e+03,7.02500e+02,1.18649e+01,9.65563e+00,5.07960e+02,3.07927e+01,4.84047e+02,-1.33098e+02,4.77956e-01,5.00165e-01,2.50083e+01
ARI,2.62476e+03,1.67959e+01,7.99798e+01,4.50057e+01,2.62398e+03,7.61552e+01,3.96119e+01,1.64609e+01,4.55515e+01,3.07927e+01,3.06010e+01,-7.79391e-01,4.66829e+00,4.20481e-04,2.10240e-02
ARI,2.30590e+03,1.47263e+01,9.00286e+01,4.96013e+00,2.30664e+03,5.25482e+01,1.53600e+01,1.44701e+01,2.08183e+01,3.07927e+01,3.05680e+01,7.38999e-01,3.10999e+00,9.81349e-04,4.90674e-02
ARI,2.98252e+03,1.83497e+01,9.00033e+01,3.49570e+01,2.98538e+03,6.02436e+01,2.69312e+01,1.87280e+01,2.93832e+01,3.07927e+01,2.72341e+01,2.85836e+00,2.59316e+00,8.61901e-04,4.30951e-02
ARI,3.66581e+03,2.41879e+01,1.00012e+02,4.49850e+01,3.66333e+03,5.75765e+01,2.81613e+01,2.29810e+01,2.43922e+01,3.07927e+01,2.12297e+01,-2.48282e+00,1.63402e+00,3.85931e-04,1.92965e-02
ARI,3.43456e+03,2.11324e+01,1.09954e+02,2.99815e+01,3.43273e+03,5.80631e+01,1.84693e+01,2.15344e+01,2.74622e+01,3.07927e+01,2.93959e+01,-1.82416e+00,2.92922e+00,9.84745e-04,4.92372e-02
ARI,3.99044e+03,2.44363e+01,1.10022e+02,4.50022e+01,3.98795e+03,5.73008e+01,2.59159e+01,2.50174e+01,2.45815e+01,3.07927e+01,2.08191e+01,-2.48552e+00,1.32544e+00,4.36774e-04,2.18387e-02
ARI,4.23291e+03,2.60298e+01,1.19910e+02,4.49975e+01,4.23775e+03,5.84709e+01,2.60390e+01,2.65845e+01,2.49991e+01,3.07927e+01,2.14695e+01,4.84830e+00,1.77362e+00,1.80792e-03,9.03960e-02
ARI,4.46384e+03,2.79219e+01,1.29988e+02,4.49547e+01,4.46330e+03,6.99472e+01,2.72855e+01,2.79994e+01,3.85665e+01,3.07927e+01,3.04727e+01,-5.36342e-01,3.33657e+00,9.35997e-04,4.67999e-02
testing,1.67227e+03,1.01377e+01,7.99769e+01,-2.00083e+01,1.53918e+03,7.02500e+02,1.18649e+01,9.65563e+00,5.07960e+02,3.07927e+01,4.84047e+02,-1.33098e+02,4.77956e-01,5.00165e-01,2.50083e+01
testing,2.18532e+03,1.39295e+01,7.99948e+01,1.49876e+01,2.20444e+03,8.91763e+01,2.32714e+01,1.38290e+01,5.61789e+01,3.07927e+01,5.58153e+01,1.91208e+01,3.55663e-01,1.99752e-01,9.98760e+00
testing,2.80809e+03,1.85883e+01,8.00654e+01,5.50168e+01,2.78742e+03,1.57288e+02,4.59217e+01,1.74862e+01,1.16573e+02,3.07927e+01,8.82478e+01,-2.06697e+01,1.74591e+00,1.98693e-01,9.93466e+00
testing,1.59805e+03,1.12338e+01,9.99566e+01,-2.00145e+01,1.69702e+03,1.26599e+03,1.27385e+01,1.06458e+01,9.64190e+02,3.07927e+01,8.19660e+02,9.89678e+01,6.13906e-01,5.38463e-01,2.69232e+01
testing,3.06423e+03,1.94811e+01,1.09950e+02,2.00191e+01,3.09397e+03,1.28486e+02,2.28954e+01,1.94092e+01,9.16410e+01,3.07927e+01,7.91294e+01,2.97357e+01,8.49096e-01,1.99621e-01,9.98107e+00
testing,3.24062e+03,2.16641e+01,1.09998e+02,2.49844e+01,3.26163e+03,7.93646e+01,1.91833e+01,2.04610e+01,4.87432e+01,3.07927e+01,4.67761e+01,2.10111e+01,1.65591e+00,1.00312e-01,5.01558e+00
testing,1.77607e+03,1.18629e+01,1.19897e+02,-1.00118e+01,2.21354e+03,2.02002e+03,1.58297e+01,1.38861e+01,1.58771e+03,3.07927e+01,1.24831e+03,4.37468e+02,9.22839e-01,6.69084e-01,3.34542e+01
testing,3.15082e+03,2.01040e+01,1.19959e+02,2.00029e+01,3.25481e+03,3.42782e+02,1.89339e+01,2.04182e+01,2.66768e+02,3.07927e+01,2.11213e+02,1.03994e+02,9.22905e-01,2.82226e-01,1.41113e+01
testing,3.37794e+03,2.11457e+01,1.20013e+02,2.50200e+01,3.43919e+03,2.19062e+02,2.00075e+01,2.15749e+01,1.67864e+02,3.07927e+01,1.34148e+02,6.12473e+01,8.19204e-01,2.23669e-01,1.11835e+01
testing,3.58764e+03,2.32055e+01,1.19994e+02,3.00028e+01,3.62692e+03,1.28984e+02,2.12074e+01,2.27525e+01,9.41515e+01,3.07927e+01,7.65300e+01,3.92716e+01,7.16576e-01,1.99878e-01,9.99392e+00
testing,4.70233e+03,3.21191e+01,1.20020e+02,5.50232e+01,4.70119e+03,7.01837e+01,3.02816e+01,2.94917e+01,3.71792e+01,3.07927e+01,2.84348e+01,-1.14407e+00,1.88950e+00,1.99607e-01,9.98034e+00
testing,2.91814e+03,1.87776e+01,1.49997e+02,1.00218e+01,3.70601e+03,2.97955e+03,3.46486e+01,2.32487e+01,2.34110e+03,3.07927e+01,1.84236e+03,7.87862e+02,7.98928e-01,8.05817e-01,4.02908e+01
testing,4.06691e+03,2.46765e+01,1.50045e+02,2.99948e+01,4.38296e+03,1.12338e+03,3.24077e+01,2.74954e+01,8.76182e+02,3.07927e+01,7.01092e+02,3.16048e+02,9.21100e-01,5.00777e-01,2.50388e+01
testing,5.47873e+03,3.45050e+01,1.49983e+02,5.49930e+01,5.50981e+03,3.26138e+02,3.60307e+01,3.45644e+01,2.49483e+02,3.07927e+01,2.01701e+02,3.10781e+01,4.25260e-01,3.99662e-01,1.99831e+01
All,1.67227e+03,1.01377e+01,7.99769e+01,-2.00083e+01,1.53918e+03,7.02500e+02,1.18649e+01,9.65563e+00,5.07960e+02,3.07927e+01,4.84047e+02,-1.33098e+02,4.77956e-01,5.00165e-01,2.50083e+01
All,1.75620e+03,1.05065e+01,7.99898e+01,-1.49650e+01,1.66100e+03,4.76284e+02,1.27485e+01,1.04198e+01,3.42969e+02,3.07927e+01,3.28632e+02,-9.51983e+01,4.78518e-01,3.99301e-01,1.99650e+01
All,1.84502e+03,1.19945e+01,7.99430e+01,-1.00132e+01,1.76908e+03,3.03046e+02,1.48617e+01,1.10979e+01,2.16628e+02,3.07927e+01,2.08847e+02,-7.59386e+01,5.74080e-01,3.00266e-01,1.50133e+01
All,1.91735e+03,1.20870e+01,8.00415e+01,-5.01250e+00,1.87208e+03,1.73142e+02,2.05710e+01,1.17440e+01,1.20752e+02,3.07927e+01,1.17847e+02,-4.52640e+01,7.61909e-01,2.00252e-01,1.00126e+01
All,1.98794e+03,1.30527e+01,7.99999e+01,1.12860e-02,1.96420e+03,8.52487e+01,1.70869e+01,1.23219e+01,5.34104e+01,3.07927e+01,5.49790e+01,-2.37483e+01,4.75139e-01,9.97743e-02,4.98871e+00
All,2.05167e+03,1.32039e+01,8.00321e+01,5.01770e+00,2.05099e+03,5.46835e+01,1.89540e+01,1.28663e+01,2.41032e+01,3.07927e+01,3.05995e+01,-6.85504e-01,3.63500e+00,7.33141e-04,3.66571e-02
All,2.11905e+03,1.40284e+01,7.99815e+01,9.95514e+00,2.12821e+03,7.09713e+01,2.10489e+01,1.33508e+01,4.00399e+01,3.07927e+01,4.31768e+01,9.16076e+00,1.20389e+00,9.91035e-02,4.95517e+00
All,2.18532e+03,1.39295e+01,7.99948e+01,1.49876e+01,2.20444e+03,8.91763e+01,2.32714e+01,1.38290e+01,5.61789e+01,3.07927e+01,5.58153e+01,1.91208e+01,3.55663e-01,1.99752e-01,9.98760e+00
All,2.24911e+03,1.40956e+01,7.99664e+01,2.00157e+01,2.27537e+03,9.94318e+01,2.57532e+01,1.42740e+01,6.55931e+01,3.07927e+01,6.13927e+01,2.62674e+01,1.01312e-01,3.00315e-01,1.50157e+01
All,2.32026e+03,1.46873e+01,7.99718e+01,2.49769e+01,2.34450e+03,1.02626e+02,2.82391e+01,1.47076e+01,6.95578e+01,3.07927e+01,6.10894e+01,2.42373e+01,4.27612e-01,2.83569e-01,1.41784e+01
