Map,MeaPower,UncerMeaPower,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,PowerDiff,Skewness,MinNormDistance,MinFDistance
ARI,1.67227e+03,1.01377e+01,7.99770e+01,-2.00082e+01,1.52759e+03,2.57694e+02,1.44478e+01,9.72605e+00,2.39476e+02,1.22969e+01,9.27503e+01,-1.44688e+02,6.24890e-01,5.00164e-01,2.50082e+01
ARI,2.62476e+03,1.67959e+01,7.99799e+01,4.50057e+01,2.62263e+03,5.41326e+01,3.93038e+01,1.66981e+01,2.95727e+01,1.22969e+01,8.99779e+00,-2.13553e+00,4.06587e+00,3.09336e-04,2.09222e-02
ARI,2.30590e+03,1.47263e+01,9.00286e+01,4.96016e+00,2.30419e+03,2.87803e+01,1.48605e+01,1.46707e+01,1.37811e+01,1.22969e+01,7.14874e+00,-1.70745e+00,1.99341e+00,8.95489e-04,4.90445e-02
ARI,2.98252e+03,1.83497e+01,9.00033e+01,3.49570e+01,2.98326e+03,3.95461e+01,2.74626e+01,1.89942e+01,1.62387e+01,1.22969e+01,5.83155e+00,7.34794e-01,1.63213e+00,8.60651e-04,4.30947e-02
ARI,3.66581e+03,2.41879e+01,1.00012e+02,4.49850e+01,3.66385e+03,4.25008e+01,2.78220e+01,2.33275e+01,1.73011e+01,1.22969e+01,6.12699e+00,-1.96109e+00,1.32989e+00,3.47379e-04,1.93989e-02
ARI,3.43456e+03,2.11324e+01,1.09954e+02,2.99815e+01,3.43344e+03,3.49223e+01,2.04517e+01,2.18605e+01,1.21864e+01,1.22969e+01,4.86709e+00,-1.11617e+00,7.29159e-01,7.49632e-04,4.92371e-02
ARI,3.99044e+03,2.44363e+01,1.10022e+02,4.50022e+01,3.99392e+03,4.18347e+01,2.58182e+01,2.54290e+01,1.59706e+01,1.22969e+01,5.53598e+00,3.48213e+00,1.14360e+00,3.13570e-04,2.18396e-02
ARI,4.23291e+03,2.60298e+01,1.19910e+02,4.49976e+01,4.24292e+03,4.30158e+01,2.59753e+01,2.70145e+01,1.62871e+01,1.22969e+01,5.42051e+00,1.00196e+01,1.13892e+00,1.29182e-03,9.03956e-02
ARI,4.46384e+03,2.79219e+01,1.29988e+02,4.49547e+01,4.45417e+03,4.58741e+01,2.75342e+01,2.83595e+01,1.87686e+01,1.22969e+01,6.21042e+00,-9.66378e+00,1.55432e+00,9.21541e-04,4.67908e-02
testing,1.67227e+03,1.01377e+01,7.99770e+01,-2.00082e+01,1.52759e+03,2.57694e+02,1.44478e+01,9.72605e+00,2.39476e+02,1.22969e+01,9.27503e+01,-1.44688e+02,6.24890e-01,5.00164e-01,2.50082e+01
testing,2.18532e+03,1.39295e+01,7.99949e+01,1.49876e+01,2.19798e+03,4.26271e+01,2.42716e+01,1.39944e+01,2.75621e+01,1.22969e+01,1.10107e+01,1.26560e+01,1.71787e+00,1.74581e-01,9.98762e+00
testing,2.80809e+03,1.85883e+01,8.00655e+01,5.50168e+01,2.81634e+03,7.37365e+01,4.42705e+01,1.79315e+01,5.24064e+01,1.22969e+01,1.60628e+01,8.25445e+00,3.51869e+00,1.41922e-01,9.93455e+00
testing,1.59805e+03,1.12338e+01,9.99568e+01,-2.00144e+01,1.45981e+03,2.52377e+02,1.83039e+01,9.29450e+00,2.34515e+02,1.22969e+01,9.01348e+01,-1.38245e+02,7.00567e-01,5.00288e-01,2.50144e+01
