Map,Case,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,MinNormDistance,MinFDistance
Map 4,testing_points,8.00000e+01,-2.00000e+01,1.67593e+03,3.15134e+01,1.71610e+01,1.07683e+01,1.90233e+01,1.08309e+01,1.01706e+01,0.00000e+00,1.01706e+01,5.00000e+00
Map 4,testing_points,1.00000e+02,-2.00000e+01,1.59430e+03,4.24438e+01,3.53287e+01,1.02438e+01,1.62680e+01,1.08309e+01,8.15256e+00,0.00000e+00,8.15256e+00,5.00000e+00
Map 4,testing_points,1.20000e+02,-1.00000e+01,1.77625e+03,4.98030e+01,4.56977e+01,1.14129e+01,1.09288e+01,1.08309e+01,5.00563e+00,0.00000e+00,5.00563e+00,0.00000e+00
Map 4,testing_points,1.50000e+02,1.00000e+01,2.94375e+03,1.05006e+02,5.64645e+01,1.89144e+01,8.01109e+01,1.08309e+01,3.07436e+01,0.00000e+00,3.07436e+01,2.00000e+01
Map 4,testing_points,1.50000e+02,5.50000e+01,5.49351e+03,1.40847e+02,5.80504e+01,3.52974e+01,1.15924e+02,1.08309e+01,4.08233e+01,0.00000e+00,4.08233e+01,2.23607e+01
Map 4,testing_points,1.20000e+02,5.50000e+01,4.68960e+03,7.11042e+01,4.78415e+01,3.01320e+01,3.97385e+01,1.08309e+01,1.27517e+01,0.00000e+00,1.27517e+01,1.00000e+01
Map 4,testing_points,8.00000e+01,5.50000e+01,2.81120e+03,9.34529e+01,7.16281e+01,1.80628e+01,5.38239e+01,1.08309e+01,1.61950e+01,0.00000e+00,1.61950e+01,1.00000e+01
Map 4,testing_points,1.10000e+02,2.00000e+01,3.05490e+03,4.28873e+01,3.53811e+01,1.96286e+01,8.63252e+00,1.08309e+01,3.22321e+00,0.00000e+00,3.22321e+00,5.00000e+00
Map 4,testing_points,1.10000e+02,2.50000e+01,3.24089e+03,4.43926e+01,3.63154e+01,2.08237e+01,9.45443e+00,1.08309e+01,3.40126e+00,0.00000e+00,3.40126e+00,5.00000e+00
Map 4,testing_points,1.20000e+02,2.00000e+01,3.15821e+03,4.74144e+01,4.00645e+01,2.02924e+01,9.98062e+00,1.08309e+01,3.77547e+00,0.00000e+00,3.77547e+00,5.00000e+00
Map 4,testing_points,1.20000e+02,3.00000e+01,3.59153e+03,4.95562e+01,4.10259e+01,2.30766e+01,1.04087e+01,1.08309e+01,3.80976e+00,0.00000e+00,3.80976e+00,5.00000e+00
Map 4,testing_points,8.00000e+01,1.50000e+01,2.18637e+03,4.49595e+01,3.99234e+01,1.40481e+01,9.88561e+00,1.08309e+01,3.88592e+00,0.00000e+00,3.88592e+00,0.00000e+00
Map 4,testing_points,1.50000e+02,3.00000e+01,4.10098e+03,1.06732e+02,5.55026e+01,2.63500e+01,8.12100e+01,1.08309e+01,3.00734e+01,0.00000e+00,3.00734e+01,2.00000e+01
Map 4,testing_points,1.20000e+02,2.50000e+01,3.37543e+03,4.83947e+01,4.03896e+01,2.16881e+01,1.03973e+01,1.08309e+01,3.86510e+00,0.00000e+00,3.86510e+00,1.00000e+01
Map 4,ARI_points,1.30000e+02,4.50000e+01,4.45753e+03,6.15869e+01,4.76625e+01,2.86409e+01,2.31347e+01,1.08309e+01,6.95732e+00,0.00000e+00,6.95732e+00,0.00000e+00
Map 4,ARI_points,1.10000e+02,4.50000e+01,3.99209e+03,5.36239e+01,4.29637e+01,2.56503e+01,1.52341e+01,1.08309e+01,4.72417e+00,0.00000e+00,4.72417e+00,0.00000e+00
Map 4,ARI_points,1.00000e+02,4.50000e+01,3.66534e+03,5.41624e+01,4.46985e+01,2.35509e+01,1.55222e+01,1.08309e+01,4.76638e+00,0.00000e+00,4.76638e+00,0.00000e+00
Map 4,ARI_points,1.10000e+02,3.00000e+01,3.42662e+03,4.60931e+01,3.75888e+01,2.20170e+01,9.86862e+00,1.08309e+01,3.49366e+00,0.00000e+00,3.49366e+00,0.00000e+00
Map 4,ARI_points,9.00000e+01,5.00000e+00,2.30697e+03,3.30964e+01,2.64385e+01,1.48230e+01,7.00355e+00,1.08309e+01,3.20947e+00,0.00000e+00,3.20947e+00,0.00000e+00
Map 4,ARI_points,8.00000e+01,4.50000e+01,2.62529e+03,7.20209e+01,6.38769e+01,1.68682e+01,2.55569e+01,1.08309e+01,7.19460e+00,0.00000e+00,7.19460e+00,0.00000e+00
Map 4,ARI_points,9.00000e+01,3.50000e+01,2.98124e+03,5.06948e+01,4.45645e+01,1.91553e+01,9.45237e+00,1.08309e+01,3.22312e+00,0.00000e+00,3.22312e+00,0.00000e+00
Map 4,ARI_points,1.20000e+02,4.50000e+01,4.24292e+03,5.59768e+01,4.45018e+01,2.72620e+01,1.63496e+01,1.08309e+01,5.01483e+00,0.00000e+00,5.01483e+00,0.00000e+00
