Map,MeaPower,UncerMeaPower,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,PowerDiff,Skewness,MinNormDistance,MinFDistance
ARI,1.67227e+03,1.01377e+01,7.99770e+01,-2.00082e+01,1.67562e+03,2.81822e+01,9.69571e+00,1.07663e+01,1.90587e+01,1.08309e+01,1.01869e+01,3.34094e+00,2.40522e+00,8.34712e-02,5.00825e+00
ARI,2.62476e+03,1.67959e+01,7.99799e+01,4.50057e+01,2.62400e+03,5.17239e+01,3.95808e+01,1.68599e+01,2.55972e+01,1.08309e+01,7.20719e+00,-7.64459e-01,6.42621e+00,4.13681e-04,2.09222e-02
ARI,2.30590e+03,1.47263e+01,9.00286e+01,4.96016e+00,2.30659e+03,2.44518e+01,1.41973e+01,1.48205e+01,7.00437e+00,1.08309e+01,3.21080e+00,6.93625e-01,9.32137e-01,8.76426e-04,4.90445e-02
ARI,2.98252e+03,1.83497e+01,9.00033e+01,3.49570e+01,2.98038e+03,3.66943e+01,2.76197e+01,1.91498e+01,9.44524e+00,1.08309e+01,3.22297e+00,-2.14763e+00,1.68818e+00,7.19173e-04,4.30947e-02
ARI,3.66581e+03,2.41879e+01,1.00012e+02,4.49850e+01,3.66532e+03,4.12889e+01,2.77473e+01,2.35508e+01,1.55001e+01,1.08309e+01,4.75984e+00,-4.92231e-01,2.67890e+00,3.50939e-04,1.93989e-02
ARI,3.43456e+03,2.11324e+01,1.09954e+02,2.99815e+01,3.42507e+03,3.37434e+01,2.06772e+01,2.20070e+01,9.86245e+00,1.08309e+01,3.49066e+00,-9.49254e+00,1.60699e+00,9.63224e-04,4.92371e-02
ARI,3.99044e+03,2.44363e+01,1.10022e+02,4.50022e+01,3.99279e+03,4.11383e+01,2.57363e+01,2.56548e+01,1.52379e+01,1.08309e+01,4.72545e+00,2.35594e+00,2.48254e+00,4.36088e-04,2.18396e-02
ARI,4.23291e+03,2.60298e+01,1.19910e+02,4.49976e+01,4.24077e+03,4.27105e+01,2.59388e+01,2.72482e+01,1.63248e+01,1.08309e+01,5.00953e+00,7.86740e+00,3.02281e+00,1.80771e-03,9.03956e-02
ARI,4.46384e+03,2.79219e+01,1.29988e+02,4.49547e+01,4.45508e+03,4.77157e+01,2.75846e+01,2.86252e+01,2.30470e+01,1.08309e+01,6.92866e+00,-8.75706e+00,4.62644e+00,7.90382e-04,4.67908e-02
testing,1.67227e+03,1.01377e+01,7.99770e+01,-2.00082e+01,1.67562e+03,2.81822e+01,9.69571e+00,1.07663e+01,1.90587e+01,1.08309e+01,1.01869e+01,3.34094e+00,2.40522e+00,8.34712e-02,5.00825e+00
testing,2.18532e+03,1.39295e+01,7.99949e+01,1.49876e+01,2.18599e+03,3.19832e+01,2.44019e+01,1.40456e+01,9.88793e+00,1.08309e+01,3.88750e+00,6.73777e-01,2.76254e+00,2.29886e-04,1.33789e-02
testing,2.80809e+03,1.85883e+01,8.00655e+01,5.50168e+01,2.81657e+03,7.46133e+01,4.43604e+01,1.80973e+01,5.37822e+01,1.08309e+01,1.61851e+01,8.48475e+00,6.10727e+00,1.66952e-01,1.00170e+01
testing,1.59805e+03,1.12338e+01,9.99568e+01,-2.00144e+01,1.59433e+03,2.81728e+01,1.54777e+01,1.02440e+01,1.62874e+01,1.08309e+01,8.16205e+00,-3.72219e+00,1.75113e+00,8.35778e-02,5.01458e+00
testing,3.06423e+03,1.94811e+01,1.09950e+02,2.00191e+01,3.05498e+03,3.02182e+01,1.80495e+01,1.96292e+01,8.62445e+00,1.08309e+01,3.21912e+00,-9.24639e+00,1.43683e+00,8.36571e-02,5.01932e+00
testing,3.24062e+03,2.16641e+01,1.09998e+02,2.49844e+01,3.24029e+03,3.20314e+01,1.93477e+01,2.08198e+01,9.45210e+00,1.08309e+01,3.40064e+00,-3.31454e-01,1.48545e+00,8.35930e-02,5.01558e+00
testing,1.77607e+03,1.18629e+01,1.19897e+02,-1.00118e+01,1.77675e+03,2.80927e+01,1.99552e+01,1.14161e+01,1.08840e+01,1.08309e+01,4.98934e+00,6.77278e-01,2.96448e+00,2.06960e-03,1.03684e-01
testing,3.15082e+03,2.01040e+01,1.19959e+02,2.00029e+01,3.15797e+03,3.22026e+01,1.98517e+01,2.02909e+01,9.98147e+00,1.08309e+01,3.77600e+00,7.15475e+00,1.52174e+00,8.33859e-02,5.00308e+00
testing,3.37794e+03,2.11457e+01,1.20013e+02,2.50200e+01,3.37645e+03,3.38075e+01,2.07828e+01,2.16947e+01,1.03978e+01,1.08309e+01,3.86500e+00,-1.48885e+00,1.47577e+00,1.66334e-01,9.98005e+00
testing,3.58764e+03,2.32055e+01,1.19994e+02,3.00028e+01,3.59156e+03,3.53412e+01,2.18242e+01,2.30768e+01,1.04089e+01,1.08309e+01,3.80983e+00,3.91962e+00,1.60034e+00,8.32862e-02,4.99717e+00
testing,4.70233e+03,3.21191e+01,1.20020e+02,5.50232e+01,4.69119e+03,6.02434e+01,2.92280e+01,3.01423e+01,3.98222e+01,1.08309e+01,1.27801e+01,-1.11394e+01,2.84580e+00,1.67054e-01,1.00232e+01
testing,2.91814e+03,1.87776e+01,1.49997e+02,1.00218e+01,2.94500e+03,9.28755e+01,2.81505e+01,1.89225e+01,8.00847e+01,1.08309e+01,3.07325e+01,2.68596e+01,1.02197e+00,3.99939e-01,1.99970e+01
testing,4.06691e+03,2.46765e+01,1.50045e+02,2.99948e+01,4.10182e+03,9.66614e+01,3.13436e+01,2.63554e+01,8.14768e+01,1.08309e+01,3.01765e+01,3.49105e+01,1.03639e+00,4.00894e-01,2.00447e+01
testing,5.47873e+03,3.45050e+01,1.49983e+02,5.49930e+01,5.49258e+03,1.33269e+02,3.64009e+01,3.52914e+01,1.15802e+02,1.08309e+01,4.07775e+01,1.38450e+01,3.74675e+00,4.32977e-01,2.23425e+01
All,1.67227e+03,1.01377e+01,7.99770e+01,-2.00082e+01,1.67562e+03,2.81822e+01,9.69571e+00,1.07663e+01,1.90587e+01,1.08309e+01,1.01869e+01,3.34094e+00,2.40522e+00,8.34712e-02,5.00825e+00
All,1.75620e+03,1.05065e+01,7.99900e+01,-1.49650e+01,1.76098e+03,2.27665e+01,9.36954e+00,1.13148e+01,1.17374e+01,1.08309e+01,6.88648e+00,4.78822e+00,2.79850e+00,6.17218e-04,3.64290e-02
All,1.84502e+03,1.19945e+01,7.99431e+01,-1.00131e+01,1.83839e+03,2.21463e+01,1.16110e+01,1.18122e+01,8.52775e+00,1.08309e+01,5.10688e+00,-6.62375e+00,2.84191e+00,1.15915e-03,5.84101e-02
All,1.91735e+03,1.20870e+01,8.00416e+01,-5.01246e+00,1.91491e+03,2.33665e+01,1.39970e+01,1.23038e+01,7.92619e+00,1.08309e+01,4.30818e+00,-2.43757e+00,2.31772e+00,8.57602e-04,4.34296e-02
All,1.98794e+03,1.30527e+01,8.00000e+01,1.13221e-02,1.98525e+03,2.53614e+01,1.66521e+01,1.27558e+01,8.32550e+00,1.08309e+01,4.07149e+00,-2.69425e+00,2.25204e+00,1.88703e-04,1.13221e-02
All,2.05167e+03,1.32039e+01,8.00322e+01,5.01773e+00,2.05476e+03,2.74237e+01,1.92076e+01,1.32024e+01,8.71532e+00,1.08309e+01,3.94458e+00,3.08214e+00,2.36827e+00,7.08702e-04,3.67656e-02
All,2.11905e+03,1.40284e+01,7.99816e+01,9.95516e+00,2.11894e+03,2.96551e+01,2.18282e+01,1.36148e+01,9.22736e+00,1.08309e+01,3.89068e+00,-1.11789e-01,2.54813e+00,8.33318e-04,4.84811e-02
All,2.18532e+03,1.39295e+01,7.99949e+01,1.49876e+01,2.18599e+03,3.19832e+01,2.44019e+01,1.40456e+01,9.88793e+00,1.08309e+01,3.88750e+00,6.73777e-01,2.76254e+00,2.29886e-04,1.33789e-02
All,2.24911e+03,1.40956e+01,7.99665e+01,2.00157e+01,2.25152e+03,3.45038e+01,2.70772e+01,1.44666e+01,1.07205e+01,1.08309e+01,3.97666e+00,2.41004e+00,3.01971e+00,7.18983e-04,3.69832e-02
All,2.32026e+03,1.46873e+01,7.99719e+01,2.49769e+01,2.31897e+03,3.69327e+01,2.95895e+01,1.49001e+01,1.15138e+01,1.08309e+01,4.07414e+00,-1.28897e+00,3.23200e+00,6.81526e-04,3.63903e-02
All,2.39718e+03,1.61560e+01,8.00446e+01,2.99710e+01,2.39300e+03,3.93731e+01,3.20518e+01,1.53757e+01,1.23357e+01,1.08309e+01,4.12670e+00,-4.17517e+00,3.50972e+00,1.01434e-03,5.31874e-02
All,2.46689e+03,1.62981e+01,7.99881e+01,3.50599e+01,2.46461e+03,4.22528e+01,3.46154e+01,1.58358e+01,1.41452e+01,1.08309e+01,4.34766e+00,-2.27849e+00,4.41614e+00,1.02552e-03,6.10262e-02
All,2.53678e+03,1.70896e+01,7.99833e+01,3.99983e+01,2.54111e+03,4.60177e+01,3.71626e+01,1.63273e+01,1.80610e+01,1.08309e+01,5.14608e+00,4.33187e+00,5.76213e+00,3.34803e-04,1.67678e-02
All,2.62476e+03,1.67959e+01,7.99799e+01,4.50057e+01,2.62400e+03,5.17239e+01,3.95808e+01,1.68599e+01,2.55972e+01,1.08309e+01,7.20719e+00,-7.64459e-01,6.42621e+00,4.13681e-04,2.09222e-02
All,2.71709e+03,1.76002e+01,8.00156e+01,5.00251e+01,2.71623e+03,6.08487e+01,4.19977e+01,1.74525e+01,3.74025e+01,1.08309e+01,1.08588e+01,-8.66983e-01,6.42178e+00,8.37527e-02,5.02515e+00
All,2.80809e+03,1.85883e+01,8.00655e+01,5.50168e+01,2.81657e+03,7.46133e+01,4.43604e+01,1.80973e+01,5.37822e+01,1.08309e+01,1.61851e+01,8.48475e+00,6.10727e+00,1.66952e-01,1.00170e+01
All,1.68604e+03,1.06870e+01,8.99783e+01,-1.99893e+01,1.68669e+03,2.55438e+01,1.03142e+01,1.08375e+01,1.56475e+01,1.08309e+01,8.15473e+00,6.45831e-01,1.70230e+00,8.31569e-02,4.98939e+00
All,1.81774e+03,1.22353e+01,9.00364e+01,-1.50264e+01,1.82056e+03,2.12828e+01,9.69938e+00,1.16976e+01,8.90836e+00,1.08309e+01,5.03757e+00,2.82573e+00,2.04537e+00,8.51198e-04,4.49948e-02
All,1.95091e+03,1.24410e+01,8.99701e+01,-9.99107e+00,1.94990e+03,2.06854e+01,9.87889e+00,1.25287e+01,6.58211e+00,1.08309e+01,3.56291e+00,-1.00757e+00,1.40520e+00,6.16690e-04,3.12270e-02
All,2.07282e+03,1.37512e+01,9.00212e+01,-5.01331e+00,2.07286e+03,2.16695e+01,1.08555e+01,1.33187e+01,6.80439e+00,1.08309e+01,3.27538e+00,3.37555e-02,9.16141e-01,4.79023e-04,2.50559e-02
All,2.19260e+03,1.42041e+01,8.99819e+01,1.23429e-02,2.19173e+03,2.30352e+01,1.24011e+01,1.40825e+01,7.09842e+00,1.08309e+01,3.28931e+00,-8.70281e-01,9.43580e-01,4.16737e-04,2.19254e-02
All,2.30590e+03,1.47263e+01,9.00286e+01,4.96016e+00,2.30659e+03,2.44518e+01,1.41973e+01,1.48205e+01,7.00437e+00,1.08309e+01,3.21080e+00,6.93625e-01,9.32137e-01,8.76426e-04,4.90445e-02
All,2.40767e+03,1.60128e+01,8.99260e+01,1.00038e+01,2.41816e+03,2.61254e+01,1.63208e+01,1.55374e+01,6.93587e+00,1.08309e+01,3.05619e+00,1.04942e+01,1.08220e+00,1.48106e-03,7.40825e-02
All,2.53095e+03,1.53777e+01,9.00606e+01,1.50060e+01,2.53289e+03,2.80102e+01,1.84470e+01,1.62745e+01,7.29721e+00,1.08309e+01,2.97648e+00,1.93611e+00,1.34590e+00,1.21546e-03,6.08627e-02
All,2.65365e+03,1.74053e+01,9.00154e+01,1.99541e+01,2.64140e+03,3.01487e+01,2.07270e+01,1.69717e+01,8.04334e+00,1.08309e+01,3.04846e+00,-1.22554e+01,1.54139e+00,8.24273e-04,4.83842e-02
All,2.74899e+03,1.78688e+01,8.99501e+01,2.49807e+01,2.75103e+03,3.23737e+01,2.30558e+01,1.76761e+01,8.75019e+00,1.08309e+01,3.18891e+00,2.03635e+00,1.52211e+00,1.04834e-03,5.34894e-02
All,2.85321e+03,2.02852e+01,9.00259e+01,2.99658e+01,2.86626e+03,3.44922e+01,2.52988e+01,1.84166e+01,9.09102e+00,1.08309e+01,3.24874e+00,1.30546e+01,1.53820e+00,7.71073e-04,4.29433e-02
All,2.98252e+03,1.83497e+01,9.00033e+01,3.49570e+01,2.98038e+03,3.66943e+01,2.76197e+01,1.91498e+01,9.44524e+00,1.08309e+01,3.22297e+00,-2.14763e+00,1.68818e+00,7.19173e-04,4.30947e-02
All,3.09962e+03,2.03334e+01,8.99993e+01,4.00457e+01,3.10096e+03,3.94896e+01,2.99694e+01,1.99246e+01,1.15862e+01,1.08309e+01,3.56719e+00,1.34445e+00,2.98825e+00,7.61891e-04,4.57112e-02
All,3.22314e+03,2.08543e+01,9.00181e+01,4.49825e+01,3.22346e+03,4.38659e+01,3.23455e+01,2.07116e+01,1.74741e+01,1.08309e+01,5.13435e+00,3.12644e-01,4.06724e+00,4.65201e-04,2.51899e-02
All,3.35774e+03,2.18467e+01,8.99863e+01,5.00246e+01,3.35133e+03,5.14256e+01,3.46816e+01,2.15332e+01,2.81007e+01,1.08309e+01,8.43414e+00,-6.40869e+00,4.31625e+00,8.37430e-02,5.02457e+00
All,3.48450e+03,2.20160e+01,9.00200e+01,5.50202e+01,3.48802e+03,6.36019e+01,3.70275e+01,2.24115e+01,4.32980e+01,1.08309e+01,1.34114e+01,3.51738e+00,4.15554e+00,1.67004e-01,1.00202e+01
All,1.59805e+03,1.12338e+01,9.99568e+01,-2.00144e+01,1.59433e+03,2.81728e+01,1.54777e+01,1.02440e+01,1.62874e+01,1.08309e+01,8.16205e+00,-3.72219e+00,1.75113e+00,8.35778e-02,5.01458e+00
All,1.78250e+03,1.12533e+01,9.99897e+01,-1.49669e+01,1.77681e+03,2.36583e+01,1.43207e+01,1.14165e+01,9.09533e+00,1.08309e+01,4.92561e+00,-5.68334e+00,2.19220e+00,5.89787e-04,3.47151e-02
All,1.94926e+03,1.20223e+01,1.00041e+02,-9.95062e+00,1.95105e+03,2.24052e+01,1.32062e+01,1.25361e+01,6.43005e+00,1.08309e+01,3.43259e+00,1.79353e+00,1.68067e+00,1.15491e-03,6.38713e-02
All,2.11399e+03,1.33635e+01,1.00023e+02,-4.99842e+00,2.11730e+03,2.27041e+01,1.27386e+01,1.36043e+01,6.39551e+00,1.08309e+01,3.14871e+00,3.30871e+00,1.03282e+00,4.66908e-04,2.33618e-02
All,2.28134e+03,1.45498e+01,1.00032e+02,-2.66174e-02,2.27894e+03,2.34681e+01,1.29375e+01,1.46429e+01,6.46375e+00,1.08309e+01,3.14180e+00,-2.39485e+00,1.02728e+00,7.74835e-04,4.14416e-02
All,2.43601e+03,1.45466e+01,9.99966e+01,4.96760e+00,2.43673e+03,2.43866e+01,1.36406e+01,1.56567e+01,6.09775e+00,1.08309e+01,3.00257e+00,7.13015e-01,1.03881e+00,5.44164e-04,3.25723e-02
All,2.58838e+03,1.64213e+01,1.00061e+02,1.00259e+01,2.59408e+03,2.55882e+01,1.47755e+01,1.66677e+01,5.80441e+00,1.08309e+01,2.76176e+00,5.70254e+00,9.49848e-01,1.29275e-03,6.62032e-02
All,2.74217e+03,1.71363e+01,9.99976e+01,1.49989e+01,2.74490e+03,2.71330e+01,1.61868e+01,1.76368e+01,6.23675e+00,1.08309e+01,2.63159e+00,2.72226e+00,9.24551e-01,5.23140e-05,2.68752e-03
All,2.89249e+03,1.94292e+01,9.99665e+01,1.99079e+01,2.89259e+03,2.89964e+01,1.78150e+01,1.85858e+01,7.29559e+00,1.08309e+01,2.72970e+00,1.03492e-01,1.40388e+00,1.67392e-03,9.79499e-02
All,3.04971e+03,1.98474e+01,9.99733e+01,2.49628e+01,3.04497e+03,3.10785e+01,1.96449e+01,1.95648e+01,8.42713e+00,1.08309e+01,2.97409e+00,-4.74131e+00,1.53726e+00,8.17991e-04,4.57851e-02
All,3.19433e+03,1.99922e+01,9.99831e+01,2.99807e+01,3.19697e+03,3.31193e+01,2.15581e+01,2.05414e+01,9.10395e+00,1.08309e+01,3.16151e+00,2.63746e+00,1.47255e+00,4.66357e-04,2.56494e-02
All,3.36477e+03,2.17882e+01,1.00074e+02,3.49957e+01,3.35303e+03,3.51432e+01,2.35393e+01,2.15442e+01,9.44061e+00,1.08309e+01,3.21889e+00,-1.17352e+01,1.39839e+00,1.47583e-03,7.38303e-02
All,3.51272e+03,2.24717e+01,1.00002e+02,3.99780e+01,3.50571e+03,3.75264e+01,2.56012e+01,2.25252e+01,1.07741e+01,1.08309e+01,3.46909e+00,-7.00738e+00,2.10558e+00,3.67650e-04,2.20276e-02
All,3.66581e+03,2.41879e+01,1.00012e+02,4.49850e+01,3.66532e+03,4.12889e+01,2.77473e+01,2.35508e+01,1.55001e+01,1.08309e+01,4.75984e+00,-4.92231e-01,2.67890e+00,3.50939e-04,1.93989e-02
All,3.83037e+03,2.55072e+01,1.00017e+02,4.99681e+01,3.82851e+03,4.78154e+01,2.98348e+01,2.45993e+01,2.47948e+01,1.08309e+01,7.67999e+00,-1.85685e+00,2.79831e+00,8.28016e-02,4.96809e+00
All,4.00227e+03,2.55753e+01,9.99231e+01,5.50267e+01,3.99543e+03,5.90263e+01,3.20216e+01,2.56718e+01,3.90963e+01,1.08309e+01,1.24037e+01,-6.84151e+00,2.76451e+00,1.67118e-01,1.00270e+01
All,1.66064e+03,1.02044e+01,1.09997e+02,-1.49548e+01,1.66513e+03,2.42241e+01,1.39010e+01,1.06989e+01,1.13869e+01,1.08309e+01,5.66829e+00,4.48506e+00,2.42252e+00,7.54395e-04,4.52320e-02
All,1.88376e+03,1.18251e+01,1.09981e+02,-9.96859e+00,1.87996e+03,2.48818e+01,1.69856e+01,1.20793e+01,7.32641e+00,1.08309e+01,3.70156e+00,-3.80250e+00,2.26528e+00,6.47365e-04,3.67301e-02
All,2.08845e+03,1.36190e+01,1.10004e+02,-5.00664e+00,2.08635e+03,2.47950e+01,1.62466e+01,1.34054e+01,6.63632e+00,1.08309e+01,3.12776e+00,-2.10182e+00,1.38671e+00,1.39020e-04,7.86158e-03
All,2.28710e+03,1.45871e+01,1.10012e+02,2.57681e-02,2.28968e+03,2.53640e+01,1.58649e+01,1.47119e+01,6.93253e+00,1.08309e+01,3.13537e+00,2.58483e+00,1.55777e+00,4.93832e-04,2.85055e-02
All,2.48999e+03,1.58780e+01,1.09984e+02,4.95637e+00,2.48381e+03,2.61621e+01,1.58849e+01,1.59592e+01,7.08470e+00,1.08309e+01,3.15086e+00,-6.18044e+00,1.65199e+00,7.95631e-04,4.65208e-02
All,2.67905e+03,1.81566e+01,1.09992e+02,1.00187e+01,2.67888e+03,2.72070e+01,1.62613e+01,1.72126e+01,7.25230e+00,1.08309e+01,3.10081e+00,-1.76685e-01,1.60856e+00,3.48798e-04,2.02847e-02
All,2.87208e+03,1.77622e+01,1.10040e+02,1.50455e+01,2.86975e+03,2.85911e+01,1.70238e+01,1.84389e+01,7.79067e+00,1.08309e+01,3.10520e+00,-2.33342e+00,1.44822e+00,1.10978e-03,6.09300e-02
All,3.06423e+03,1.94811e+01,1.09950e+02,2.00191e+01,3.05498e+03,3.02182e+01,1.80495e+01,1.96292e+01,8.62445e+00,1.08309e+01,3.21912e+00,-9.24639e+00,1.43683e+00,8.36571e-02,5.01932e+00
All,3.24062e+03,2.16641e+01,1.09998e+02,2.49844e+01,3.24029e+03,3.20314e+01,1.93477e+01,2.08198e+01,9.45210e+00,1.08309e+01,3.40064e+00,-3.31454e-01,1.48545e+00,8.35930e-02,5.01558e+00
All,3.43456e+03,2.11324e+01,1.09954e+02,2.99815e+01,3.42507e+03,3.37434e+01,2.06772e+01,2.20070e+01,9.86245e+00,1.08309e+01,3.49066e+00,-9.49254e+00,1.60699e+00,9.63224e-04,4.92371e-02
