Map,Case,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,MinNormDistance,MinFDistance
Map 2,testing_points,8.00000e+01,-2.00000e+01,1.64642e+03,1.10411e+02,1.90577e+01,1.06138e+01,9.93046e+01,1.23372e+01,4.12439e+01,4.00000e-01,4.12439e+01,2.00000e+01
Map 2,testing_points,1.00000e+02,-2.00000e+01,1.57391e+03,1.06845e+02,3.67484e+01,1.01463e+01,9.17581e+01,1.23372e+01,3.72912e+01,4.00000e-01,3.72912e+01,2.00000e+01
Map 2,testing_points,1.20000e+02,-1.00000e+01,1.77200e+03,6.43237e+01,4.65107e+01,1.14233e+01,3.80403e+01,1.23372e+01,1.56373e+01,2.00000e-01,1.56373e+01,1.00000e+01
Map 2,testing_points,1.50000e+02,1.00000e+01,2.91221e+03,6.33605e+01,5.60841e+01,1.87738e+01,1.79878e+01,1.23372e+01,6.39589e+00,0.00000e+00,6.39589e+00,0.00000e+00
Map 2,testing_points,1.50000e+02,5.50000e+01,5.48822e+03,8.21744e+01,5.87411e+01,3.53803e+01,4.18747e+01,1.23372e+01,1.20271e+01,1.00000e-01,1.20271e+01,5.00000e+00
Map 2,testing_points,1.20000e+02,5.50000e+01,4.69947e+03,6.56820e+01,4.87395e+01,3.02956e+01,2.81876e+01,1.23372e+01,8.60373e+00,1.00000e-01,8.60373e+00,5.00000e+00
Map 2,testing_points,8.00000e+01,5.50000e+01,2.81867e+03,8.60449e+01,7.13668e+01,1.81708e+01,4.08560e+01,1.23372e+01,1.26055e+01,1.00000e-01,1.26055e+01,5.00000e+00
Map 2,testing_points,1.10000e+02,2.00000e+01,3.05683e+03,4.30525e+01,3.52352e+01,1.97061e+01,7.71494e+00,1.23372e+01,3.45643e+00,1.00000e-01,3.45643e+00,5.00000e+00
Map 2,testing_points,1.10000e+02,2.50000e+01,3.24183e+03,4.43811e+01,3.61863e+01,2.08987e+01,7.81184e+00,1.23372e+01,3.20044e+00,1.00000e-01,3.20044e+00,5.00000e+00
Map 2,testing_points,1.20000e+02,2.00000e+01,3.15970e+03,4.74286e+01,3.98846e+01,2.03693e+01,8.86227e+00,1.23372e+01,3.61023e+00,1.00000e-01,3.61023e+00,5.00000e+00
Map 2,testing_points,1.20000e+02,3.00000e+01,3.59163e+03,4.96504e+01,4.09216e+01,2.31538e+01,9.54138e+00,1.23372e+01,3.35290e+00,1.00000e-01,3.35290e+00,5.00000e+00
Map 2,testing_points,8.00000e+01,1.50000e+01,2.18727e+03,4.54984e+01,3.97279e+01,1.41004e+01,1.08968e+01,1.23372e+01,4.69358e+00,0.00000e+00,4.69358e+00,0.00000e+00
Map 2,testing_points,1.50000e+02,3.00000e+01,4.07356e+03,6.41445e+01,5.50626e+01,2.62606e+01,1.48135e+01,1.23372e+01,4.62272e+00,0.00000e+00,4.62272e+00,0.00000e+00
Map 2,testing_points,1.20000e+02,2.50000e+01,3.37612e+03,4.83047e+01,4.02217e+01,2.17644e+01,8.85897e+00,1.23372e+01,3.34317e+00,1.42857e-01,3.34317e+00,1.00000e+01
Map 2,ARI_points,1.30000e+02,4.50000e+01,4.45828e+03,5.85981e+01,4.80239e+01,2.87407e+01,1.16265e+01,1.23372e+01,3.74635e+00,0.00000e+00,3.74635e+00,0.00000e+00
Map 2,ARI_points,1.10000e+02,4.50000e+01,3.99335e+03,5.32321e+01,4.33244e+01,2.57435e+01,1.12975e+01,1.23372e+01,3.75259e+00,0.00000e+00,3.75259e+00,0.00000e+00
Map 2,ARI_points,1.00000e+02,4.50000e+01,3.66480e+03,5.37090e+01,4.49860e+01,2.36255e+01,1.16309e+01,1.23372e+01,3.90820e+00,0.00000e+00,3.90820e+00,0.00000e+00
Map 2,ARI_points,1.10000e+02,3.00000e+01,3.42673e+03,4.62363e+01,3.75226e+01,2.20907e+01,8.87992e+00,1.23372e+01,3.28535e+00,0.00000e+00,3.28535e+00,0.00000e+00
Map 2,ARI_points,9.00000e+01,5.00000e+00,2.30643e+03,3.40221e+01,2.66955e+01,1.48686e+01,7.53838e+00,1.23372e+01,3.84016e+00,0.00000e+00,3.84016e+00,0.00000e+00
Map 2,ARI_points,8.00000e+01,4.50000e+01,2.62690e+03,6.96820e+01,6.35193e+01,1.69346e+01,1.86836e+01,1.23372e+01,5.72881e+00,0.00000e+00,5.72881e+00,0.00000e+00
Map 2,ARI_points,9.00000e+01,3.50000e+01,2.97898e+03,5.12874e+01,4.45082e+01,1.92043e+01,1.06573e+01,1.23372e+01,3.85140e+00,0.00000e+00,3.85140e+00,0.00000e+00
Map 2,ARI_points,1.20000e+02,4.50000e+01,4.24527e+03,5.52702e+01,4.48718e+01,2.73675e+01,1.12556e+01,1.23372e+01,3.66707e+00,0.00000e+00,3.66707e+00,0.00000e+00
