Capacity,Power,Current,Mass Flow,Efficiency
57884.98,-8530.313,-5.881792,1455.62,0
879.0074,-91.83125,-0.1382701,15.80431,0
-797.9912,276.3597,0.324128,-31.82375,0
11.5408,0.07438977,0.000133398,0.1510688,0
-2.097834,1.653883,0.002711837,-0.1410185,0
4.866977,-2.326324,-0.002598202,0.2749996,0
0.03333491,0.001278189,0.000002159,0.000323719,0
-0.04060926,-0.001550428,-0.00000221,-0.000585885,0
-0.01106468,-0.004163366,-0.000006074,0.000563696,0
-0.01122088,0.006437179,0.000006989,-0.000810789,0
